Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,5468,0.11756143,-0.02426503,0.00000000,0.12003950,0.69936359,-0.01347304,-0.01021471,0.69956791,1.87459743,0.05929200,0.05623202,-0.01301295,0.02581163,0.02745456,1.87680113,-0.52547032,0.04290634,0.07767436,0.53291023,0.07195037,1.06701106,0.00000405,36.10921860,3110.30419922,45.59573746,0.75262421
internalMesh,5469,0.11852179,-0.02426591,0.00000000,0.12098036,0.77242357,-0.01523341,-0.01251275,0.77267510,1.73467517,0.05785824,0.05730861,-0.01061326,0.02802807,0.02496384,1.73702371,-0.44519135,0.04018955,0.06366412,0.45151263,0.07126133,0.99618230,0.00000281,36.15953445,3064.14062500,45.69403458,0.75138634
internalMesh,5470,0.12339865,-0.02404524,0.00000000,0.12571953,1.00818241,-0.01744884,0.00389252,1.00834095,1.32780480,0.05944370,0.05590116,-0.00332643,0.02969687,0.00569403,1.33065748,-0.10726507,0.00842984,0.08582664,0.13763383,0.07330236,0.79487723,0.00000361,36.24231720,2925.35986328,45.95326614,0.74928182
internalMesh,5471,0.12405775,-0.02404584,0.00000000,0.12636664,1.08823609,-0.01932983,0.01089939,1.08846235,1.20324278,0.06087483,0.05538585,-0.00229275,0.02822717,-0.00013569,1.20638657,0.02706794,-0.00496272,0.07619892,0.08101591,0.07452026,0.73427197,0.00000430,36.24659348,2879.05175781,46.01361465,0.74938107
internalMesh,5472,0.19901981,-0.02413739,0.00000000,0.20047817,1.47732866,0.01859949,0.00319714,1.47744918,0.65677607,0.00954024,0.00508053,0.00153003,0.00122594,0.00227413,0.65687186,1.15412891,0.04033572,0.00977583,1.15487492,0.07795821,0.41365662,0.00000179,33.83281326,1022.24548340,44.13956451,0.47396785
internalMesh,5473,0.19972917,-0.02413804,0.00000000,0.20118247,1.44966054,0.00887123,0.00719722,1.44970560,0.63031399,0.00846164,0.00460470,0.00566802,0.00173062,-0.00412018,0.63042891,1.10765493,0.00330495,0.01427130,1.10775185,0.06838599,0.39007614,0.00000152,33.79034805,977.81457520,44.08153915,0.47888982
internalMesh,5474,0.01956507,-0.02280769,0.00000000,0.03004967,-0.43620816,0.29999217,0.01776929,0.52970618,1.26677072,0.20246668,0.03785595,-0.28444281,0.02025997,-0.05621146,1.31590724,-0.18733853,0.19097570,-0.02178685,0.26840660,0.07533839,0.82888494,0.00000702,32.74471283,6901.46240234,42.94593430,0.66570389
internalMesh,5475,0.02001815,-0.02280852,0.00000000,0.03034724,-0.54496819,0.31501308,-0.01710569,0.62969530,1.41329992,0.22198509,0.03854282,-0.34095061,0.01469060,-0.05264610,1.47221410,-0.24551778,0.23783062,-0.04696204,0.34503308,0.07403962,0.91095356,0.00000657,32.70887375,6880.25097656,42.91711044,0.67225385
internalMesh,5476,0.03034726,-0.02283068,0.00000000,0.03797626,-1.02594399,0.05797455,-0.08321430,1.03094459,2.64246154,0.19755299,0.07894970,-0.34531778,0.01939897,-0.03579210,2.67371750,-0.71856529,-0.00937572,-0.08892644,0.72410762,0.08625384,1.54573608,0.00000436,31.74756432,6526.85107422,42.16442108,0.71581882
internalMesh,5477,0.03085616,-0.02283161,0.00000000,0.03838469,-1.04155540,0.04605144,-0.07491457,1.04526103,2.64815259,0.19251533,0.07738110,-0.30454931,0.01931989,-0.02048588,2.67381859,-0.69526130,-0.03664165,-0.07341932,0.70008665,0.09087228,1.54989681,0.00000505,31.70693016,6496.82470703,42.09423447,0.71766871
