Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,fOmega_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,625,0.063816942275,-0.024864698760,0.000000000000,0.068489819431,-2.916485786438,0.003635368077,-0.000000000000,2.916488170624,1.000000000000,5.810338020325,5.810338020325,0.000645764812,6644.065429687500,6644.065429687500,-6.922226428986
internalMesh,626,0.064841490239,-0.024865166284,0.000000000000,0.069445628737,-2.909656524658,0.001537121716,0.000000000000,2.909657001495,1.000000000000,5.763952255249,5.763952255249,0.000641118444,6618.960449218750,6618.960449218750,-6.683278560638
internalMesh,627,0.065874002874,-0.024865637999,0.000000000000,0.070410824507,-2.900286674500,-0.000602528569,0.000000000000,2.900286674500,1.000000000000,5.715884208679,5.715884208679,0.000636708050,6589.060546875000,6589.060546875000,-6.434000015259
internalMesh,628,0.066914539784,-0.024866113439,0.000000000000,0.071385427309,-2.888337135315,-0.002820893656,0.000000000000,2.888338565826,1.000000000000,5.666521072388,5.666521072388,0.000632549520,6554.836425781250,6554.836425781250,-6.174654483795
internalMesh,629,0.067963168025,-0.024866592139,0.000000000000,0.072369466024,-2.873718500137,-0.005176932551,-0.000000000000,2.873723268509,1.000000000000,5.616109371185,5.616109371185,0.000628673413,6516.561523437500,6516.561523437500,-5.905419826508
internalMesh,630,0.069019950926,-0.024867074564,0.000000000000,0.073362967656,-2.856313467026,-0.007650787942,-0.000000000000,2.856323719025,1.000000000000,5.565078735352,5.565078735352,0.000625143875,6474.835937500000,6474.835937500000,-5.626353740692
internalMesh,631,0.070084948093,-0.024867561180,0.000000000000,0.074365956917,-2.836001634598,-0.010188196786,0.000000000000,2.836019992828,1.000000000000,5.514053821564,5.514053821564,0.000622061780,6430.556152343750,6430.556152343750,-5.337663173676
internalMesh,632,0.071158226579,-0.024868051521,0.000000000000,0.075378466397,-2.812666654587,-0.012749705464,0.000000000000,2.812695503235,1.000000000000,5.462561607361,5.462561607361,0.000619405764,6383.851562500000,6383.851562500000,-5.039679050446
internalMesh,633,0.072239849716,-0.024868545122,0.000000000000,0.076400526330,-2.786206007004,-0.015325115994,-0.000000000000,2.786248207092,1.000000000000,5.409723281860,5.409723281860,0.000617152022,6334.451660156250,6334.451660156250,-4.732910633087
internalMesh,634,0.073329884559,-0.024869042914,0.000000000000,0.077432172028,-2.756548404694,-0.017857167870,-0.000000000000,2.756606340408,1.000000000000,5.355514049530,5.355514049530,0.000615473080,6282.592285156250,6282.592285156250,-4.418370723724
internalMesh,635,0.074428394437,-0.024869544897,0.000000000000,0.078473436027,-2.723741769791,-0.020199932158,-0.000000000000,2.723816633224,1.000000000000,5.300158023834,5.300158023834,0.000614700606,6228.854980468750,6228.854980468750,-4.097394466400
internalMesh,636,0.075535442680,-0.024870050605,0.000000000000,0.079524351729,-2.687882184982,-0.022218149155,0.000000000000,2.687973976135,1.000000000000,5.243968009949,5.243968009949,0.000615411671,6174.063964843750,6174.063964843750,-3.771013736725
